row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
3637,352.93636681665106,2.7424169,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3787.3347,3888.9763,4160.1514,3512.2422,0,
3640,383.0885961348395,2.7417712,,,,,,,,,,,0,0,0,0,0,42548.836,0,69808.19,20896.898,0,0,0,0,12941.834,12325.468,11043.76,11507.557,7699.7373,
3641,389.1085761110899,2.7511566,,,,,,,,,,,0,0,0,0,0,86750.2,0,88983.1,85686.18,0,0,0,0,52080.85,58945.098,53052.49,56354.758,88141.984,
3642,399.1190133994866,2.7511582,,,,,,,,,,,0,0,0,0,0,83272.1,0,105499.71,33656.508,0,0,0,0,20765.031,18400.195,17098.023,14790.61,17728.281,
3643,421.1345363528149,2.7546518,,,,,,,,,,,0,0,0,0,0,78900.74,0,121852.45,30257.93,0,0,2140.3909,0,9682.078,10896.022,11227.139,10101.053,28515.85,
3646,819.2246231746747,2.7522,,,,,,,,,,,0,0,0,0,0,46873.926,0,46435.938,27143.555,0,0,0,0,17235.967,14004.035,13821.019,15885.838,13476.32,
3647,319.103444694718,2.7584562,,,,,,,,,,,0,0,0,0,0,33270.434,0,42486.51,13131.1455,0,0,0,0,8517.735,8550.034,7704.2583,6917.331,9296.488,
3649,201.12290694143982,2.7539558,,,,,,,,,,,0,0,0,15135.167,0,15836.663,22627.625,16462.172,9815.648,0,38054.004,0,0,12889.5625,11818.893,13901.0205,12550.021,12831.736,
3650,877.1983401986413,2.7634084,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8582.041,0,22896.785,67927.35,7318.979,7039.605,6698.0728,7611.336,2761.2327,
3653,1066.0883982421717,2.7535498,,,,,,,,,,,0,0,0,2345.5483,0,18139.16,0,13892.129,10710.623,0,0,0,0,8514.93,8050.0938,9452.688,8436.693,8621.53,
