"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
4976/346.9942mz/4.70min,29225.484375,26741.96875,25306.03515625,28045.505859375,31417.484375,25730.83203125,27545.74609375,29274.392578125,26884.0234375,26835.55859375,26912.373046875,26594.9765625,28285.94921875
4978/330.9862mz/4.70min,25161.560546875,22282.369140625,24994.10546875,23777.732421875,21728.6171875,22145.62890625,21780.09765625,23949.466796875,23183.923828125,24098.1484375,23218.623046875,23051.8046875,24541.09765625
4983/423.0056mz/4.71min,22765.6796875,23222.82421875,21530.244140625,23308.4453125,21967.111328125,24416.25390625,23109.4296875,21770.58203125,22592.80078125,21855.447265625,22450.822265625,24121.19921875,22130.36328125
4987/290.9949mz/4.72min,10530.568359375,11562.580078125,12340.23046875,,,12060.0546875,10709.5322265625,10560.3525390625,,13104.4501953125,10400.7353515625,11723.7509765625,11197.7265625
4988/361.0017mz/4.70min,12746.7265625,,13869.322265625,12180.8662109375,12357.154296875,14440.85546875,13209.0751953125,12437.80859375,,14788.546875,13162.2666015625,15019.580078125,14661.8564453125
4989/331.2487mz/4.71min,25493.677734375,22194.4765625,17609.84375,19340.6171875,20547.498046875,19526.232421875,17697.318359375,22912.02734375,20444.482421875,17534.240234375,22140.166015625,21118.60546875,21787.8046875
4990/318.9895mz/4.71min,22550.796875,23091.65234375,20984.3984375,22131.666015625,24175.23828125,21796.265625,22422.8828125,,24050.5703125,26422.646484375,24563.376953125,24715.2265625,23716.072265625
4994/403.0052mz/4.71min,11130.6806640625,11925.146484375,11823.90234375,11457.515625,11754.4541015625,12513.6337890625,11419.8974609375,11963.201171875,12223.7880859375,11698.1455078125,12314.1201171875,11312.603515625,11196.31640625
4997/408.9932mz/4.71min,28254.51953125,28361.3828125,27590.05859375,26274.888671875,28199.638671875,28669.345703125,27490.296875,26681.57421875,27617.93359375,28573.2578125,26816.7109375,27940.7890625,28366.14453125
4999/397.0043mz/4.71min,,,,,8327.6630859375,,,11056.0380859375,9498.2568359375,10825.6474609375,8853.0,11203.0517578125,
