row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
137,238.93121103203444,0.29183704,,,,,,,,,,,50801.914,0,0,0,0,34397.08,47255.113,24545.635,21714.076,26513.61,38836.043,60097.32,34026.4,
138,374.90624362529,0.2909111,,,,,,,,,,,29039.05,0,0,0,0,17075.848,29253.385,8975.5,12005.885,12275.125,23081.027,36758.727,15067.733,
139,510.8811377884532,0.28998518,,,,,,,,,,,27471.082,0,0,0,0,11541.102,29279.844,8961.072,10585.513,10874.811,18338.945,38528.773,11360.8545,
140,102.95674404420281,0.2929346,,,,,,,,,,,184775.08,29454.6,24556.629,28091.12,21377.988,99389.24,106721.74,132306.52,124465.375,108587.32,145530.95,152947.17,148804.52,
141,225.06151914768742,0.2966125,,,,,,,,,,,0,78846.02,0,52806.047,0,29061.701,0,30291.318,29971.922,0,96583.375,12294.137,17660.441,
142,402.8043712061734,0.3066352,,,,,,,,,,,21144.305,0,0,0,0,20205.826,20355.469,22761.023,20118.389,72786.34,31885.023,23247.314,22944.514,
143,460.763750630644,0.3037,,,,,,,,,,,0,0,0,0,0,32195.76,32740.84,29518.188,29287.389,84543.836,49795.473,33018.03,33248.56,
144,546.7317450621196,0.3050222,,,,,,,,,,,0,0,0,0,0,0,0,2961.6462,0,14035.599,0,5313.5234,0,
145,604.6926194815386,0.30573055,,,,,,,,,,,4900.729,0,0,0,0,5121.447,0,0,5444.2515,27723.672,0,8412.48,7576.3022,
146,686.6667129230723,0.30718127,,,,,,,,,,,8079.1606,0,0,0,0,6758.651,0,7905.235,7159.9106,39235.19,14260.003,10425.341,4634.1855,
147,688.6630481010956,0.3025333,,,,,,,,,,,0,0,0,0,0,0,0,0,2330.4714,10168.822,0,0,1135.576,
148,744.6247640582587,0.3064125,,,,,,,,,,,0,0,0,0,0,0,3795.765,3660.0396,0,16652.297,0,4701.4517,0,
149,828.5974227182253,0.3029,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14127.718,4446.1265,0,0,
150,194.06663244652373,0.29779667,,,,,,,,,,,0,16261.557,0,13339.131,0,0,0,0,2683.6753,0,6499.5747,0,2355.1755,
151,164.94745718758455,0.2964611,,,,,,,,,,,61657.383,0,0,0,0,88901.82,74082.7,86146.836,93601.99,142588.39,86095.99,52479.28,74407.63,
153,302.84670294427167,0.29738522,,,,,,,,,,,25581.262,0,0,0,0,16542.611,21099.035,20743.984,16824.914,15771.387,29920.32,29152.158,13146.3545,
154,244.88809311631258,0.29645926,,,,,,,,,,,51529.035,0,0,0,0,31374.879,39829.887,42010.5,43206.17,37767.625,52131.152,41313.023,37885.684,
155,140.91775749082325,0.3047643,,,,,,,,,,,0,7459.6323,10911.86,8214.524,4957.625,0,6358.265,0,0,0,0,2273.0352,3363.72,
157,182.83495950883864,0.2995625,,,,,,,,,,,0,7096.089,18564.084,12466.318,4404.5083,0,0,0,0,0,0,0,0,
158,184.83174666472766,0.2995625,,,,,,,,,,,0,7440.672,21343.44,15113.121,4275.6416,0,0,0,0,0,0,0,0,
159,112.8968554204974,0.30053002,,,,,,,,,,,0,23678.678,61949.707,43498.465,13056.073,0,0,0,1858.7634,0,0,0,0,
160,138.92092872312153,0.30601665,,,,,,,,,,,0,14444.945,15085.509,8670.566,6756.4243,0,6608.932,3565.852,0,0,4244.2085,2216.1724,0,
161,130.88893447568975,0.30750927,,,,,,,,,,,0,14621.05,22596.91,16950.049,8370.843,4812.1855,9145.515,4817.831,0,0,0,3444.926,4487.4336,
162,108.90189584049766,0.3017024,,,,,,,,,,,0,145948.3,420103.78,276892.12,86747.125,10303.881,0,11556.274,8719.207,0,0,0,0,
165,262.87044012094947,0.3047396,,,,,,,,,,,0,0,0,0,0,11302.773,9530.036,12038.048,10703.883,20333.781,7291.2437,11825.169,10634.692,
